ACCESSION	100 SEEDWEIGHT                            	WEIGHOF100SEEDS	FLESHCOLOR	FRUITSHAPE	FRUITSKINTEXTURE	MINIMUMPLANTVIGOR	FRUITWIDTHMAXIMUM	SQUASHBUGNYMPH	CUCUMBERBEETLEINJURY	FLESHTHICKNESSMAXIMUM	FRUITLENGTHMINIMUM	FRUITWIDTHMINIMUM	FRUITLENGTHMAXIMUM	SQUASHBUGADULT	FRUITSURFACEPATTERN	FRUITSURFACECOLOR	PLANTTYPE	MAXIMUMPLANTVIGOR	FLESHTHICKNESSMINIMUM
PI 206957	12; 14.24; 14.94; 16.65; 14.34	12; 14.24; 14.34; 14.94; 16.65	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	10	1.3	1 – SLIGHT DAMAGE	2	30		38	1.3	SO – SOLID COLOR	TN – TAN; YE – YELLOW	S – SEMI-BUSH	1 – GOOD	
PI 207479	22.59	22.59	YE – YELLOW	GL – GLOBE	1 – SMOOTH; 2 – RIBBED	1 – GOOD	15	3	4 – EXTREMELY SEVERE (PLANTS DEAD)	4			18	3	SO – SOLID COLOR; SP – SPECKLED; MO – MOTTLED	CR – CREAM; GN – GREEN; OR – ORANGE	V – VINE	1 – GOOD	2
PI 209783	15.17; 15.84	15.17; 15.84	OR – ORANGE; YE – YELLOW	GL – GLOBE	1 – SMOOTH	1 – GOOD	20	1	2 – INTERMEDIATE DAMAGE	4	15	15	20	2		OR – ORANGE; GN – GREEN	V – VINE	1 – GOOD	2
PI 212000	18.42; 15; 21.72	15; 18.42; 21.72	OR – ORANGE	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	30	1.7	2 – INTERMEDIATE DAMAGE	8			40	1.8	SP – SPECKLED	GN – GREEN	V – VINE	1 – GOOD	5
PI 212001	19.92; 16.15	16.15; 19.92	YE – YELLOW	OG – OBLONG; OB – OBOVATE	2 – RIBBED; 1 – SMOOTH	1 – GOOD	20		1 – SLIGHT DAMAGE	3	25	17	31	1	SP – SPECKLED; SO – SOLID COLOR; MO – MOTTLED; ST – STRIPED	OR – ORANGE; CR – CREAM; GN – GREEN	V – VINE	1 – GOOD	2
PI 212002	18.31; 18.66; 20	18.31; 18.66; 20	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	10		0 – NO DAMAGE	2			33	2.7	SO – SOLID COLOR	TN – TAN; CR – CREAM; OR – ORANGE	S – SEMI-BUSH	1 – GOOD	
PI 212003	15	15	YE – YELLOW	OG – OBLONG; GL – GLOBE	1 – SMOOTH; 2 – RIBBED	1 – GOOD	20		1 – SLIGHT DAMAGE	2	12	12	34	1	MO – MOTTLED; SO – SOLID COLOR; SP – SPECKLED	GN – GREEN; CR – CREAM	V – VINE	1 – GOOD	1
PI 212004	15; 14.02; 12.1	12.1; 14.02; 15	YE – YELLOW	GL – GLOBE; OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	23	3	4 – EXTREMELY SEVERE (PLANTS DEAD)	2	20	9	30	3	MO – MOTTLED; SO – SOLID COLOR; SP – SPECKLED	CR – CREAM	V – VINE	1 – GOOD	
PI 212005	17.33; 12; 12.89; 15.28; 18.33	12; 12.89; 15.28; 17.33; 18.33	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	13	34.2	2 – INTERMEDIATE DAMAGE	2	29	10	32	7.9	SO – SOLID COLOR	TN – TAN; CR – CREAM	V – VINE	1 – GOOD	
PI 212006	19; 17.14; 16.88	16.88; 17.14; 19	YE – YELLOW	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	12		1 – SLIGHT DAMAGE	3	25	10	35	1.7	SO – SOLID COLOR	CR – CREAM	V – VINE	1 – GOOD	
PI 212007	14; 16.04	14; 16.04	OR – ORANGE	GL – GLOBE; OG – OBLONG	2 – RIBBED; 1 – SMOOTH; 4 – WARTY	1 – GOOD	15		2 – INTERMEDIATE DAMAGE	3	15	10	35	2	SO – SOLID COLOR; SP – SPECKLED	YE – YELLOW; CR – CREAM	V – VINE	1 – GOOD	2
PI 212008	14.26; 17.2	14.26; 17.2	OR – ORANGE	OG – OBLONG	1 – SMOOTH	1 – GOOD	15	38.8	1 – SLIGHT DAMAGE	3	25		33	4.4	SO – SOLID COLOR	CR – CREAM; YE – YELLOW	V – VINE	1 – GOOD	2
PI 212010	16	16	YE – YELLOW	OT – OBLATE	2 – RIBBED; 1 – SMOOTH	3 – MEDIUM	33	232.8	2 – INTERMEDIATE DAMAGE	4			25	8.6	SO – SOLID COLOR	GN – GREEN	V – VINE	3 – MEDIUM	3
PI 212012	8.44; 13.36	8.44; 13.36	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	12		2 – INTERMEDIATE DAMAGE	2	25	10	35	4	SO – SOLID COLOR	CR – CREAM	V – VINE	1 – GOOD	
PI 212013	20.6; 15.43; 21.52; 20.62	15.43; 20.6; 20.62; 21.52	YE – YELLOW	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	14		2 – INTERMEDIATE DAMAGE	2	30	11	40	2.7	MO – MOTTLED; SO – SOLID COLOR	CR – CREAM	V – VINE	1 – GOOD	
PI 212014	16.5; 18.83	16.5; 18.83	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	13		3 – SEVERE DAMAGE	3			30	2	SP – SPECKLED; SO – SOLID COLOR	CR – CREAM	S – SEMI-BUSH	1 – GOOD	2
PI 212060	18; 15.1; 16.2	15.1; 16.2; 18	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	16	1.4	3 – SEVERE DAMAGE	4	16	9	33	2.6	SP – SPECKLED	GN – GREEN	S – SEMI-BUSH	1 – GOOD	2
PI 212214	15.55; 13.99; 15.82; 18; 15.2	13.99; 15.2; 15.55; 15.82; 18	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	12	3	4 – EXTREMELY SEVERE (PLANTS DEAD)	2		10	28	3	SP – SPECKLED	GN – GREEN	S – SEMI-BUSH	1 – GOOD	
PI 214122	13.48; 18.15; 18.38; 15.58; 16.04	13.48; 15.58; 16.04; 18.15; 18.38	YE – YELLOW	GL – GLOBE; OG – OBLONG	4 – WARTY; 1 – SMOOTH; 2 – RIBBED	3 – MEDIUM	18			3	18	12	28		MO – MOTTLED; SP – SPECKLED; SO – SOLID COLOR; ST – STRIPED	GN – GREEN; YE – YELLOW	V – VINE	3 – MEDIUM	2
PI 216032	7.35; 7.08; 8.63; 9.84	7.08; 7.35; 8.63; 9.84	YE – YELLOW	OT – OBLATE	4 – WARTY	1 – GOOD	14	34.7	1 – SLIGHT DAMAGE	3	6	9	7	2.4	SO – SOLID COLOR	CR – CREAM; YE – YELLOW	V – VINE	1 – GOOD	2
PI 219694	25; 18.48; 10.65; 22.76; 30.27; 22.12	10.65; 18.48; 22.12; 22.76; 23.838; 24.16; 25; 30.27	WH – WHITE	OG – OBLONG; GL – GLOBE	2 – RIBBED; 1 – SMOOTH; 4 – WARTY	1 – GOOD	20	1	4 – EXTREMELY SEVERE (PLANTS DEAD)	5	15	15	35	2	SO – SOLID COLOR; SP – SPECKLED	GN – GREEN	V – VINE	1 – GOOD	4
PI 222100	19.99; 16.28; 13.7	13.7; 16.28; 19.99	OR – ORANGE	GL – GLOBE	1 – SMOOTH; 2 – RIBBED	3 – MEDIUM	20	3	4 – EXTREMELY SEVERE (PLANTS DEAD)	3	18	18	20	3	SP – SPECKLED; MO – MOTTLED; ST – STRIPED	GN – GREEN; YE – YELLOW	V – VINE	3 – MEDIUM	2
PI 222246	14.98; 19.29; 13.47	13.47; 14.98; 19.29	YE – YELLOW	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	12	102.2	2 – INTERMEDIATE DAMAGE	3		10	35	7.4	SO – SOLID COLOR	CR – CREAM	V – VINE	1 – GOOD	2
PI 222247	7.37; 6; 5.69; 6.72	5.69; 6.72; 7.37	WH – WHITE	GL – GLOBE; OT – OBLATE	2 – RIBBED; 1 – SMOOTH	1 – GOOD	8	70	0 – NO DAMAGE	2	8		18	27.3	SO – SOLID COLOR; MO – MOTTLED; ST – STRIPED	YE – YELLOW; CR – CREAM; GN – GREEN	V – VINE	1 – GOOD	
PI 222721	15.54; 18.5	15.54; 18.5	YE – YELLOW	GL – GLOBE; OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	20	2	2 – INTERMEDIATE DAMAGE	2	20	15	25	2.2	SO – SOLID COLOR; SP – SPECKLED	GN – GREEN; CR – CREAM	S – SEMI-BUSH	1 – GOOD	
PI 222722	18.2; 18.09; 12.85; 13.26	12.85; 13.26; 18.09; 18.2	YE – YELLOW	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	13	1.7	2 – INTERMEDIATE DAMAGE	3	30	10	40	2	SO – SOLID COLOR	CR – CREAM	S – SEMI-BUSH	1 – GOOD	2
PI 222786	16; 20.75; 9.69	9.69; 16; 20.75	YE – YELLOW	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	12		1 – SLIGHT DAMAGE	3			35	3	MO – MOTTLED; SO – SOLID COLOR	CR – CREAM	V – VINE	1 – GOOD	
PI 223352	19.32; 11.04; 18.74	11.04; 18.74; 19.32	OR – ORANGE	OG – OBLONG; GL – GLOBE	1 – SMOOTH; 2 – RIBBED	3 – MEDIUM	20	37.2	2 – INTERMEDIATE DAMAGE	3	22		34	5.1	SO – SOLID COLOR	CR – CREAM	V – VINE	3 – MEDIUM	
PI 223354	18.39; 15.91; 13.29	13.29; 15.91; 18.39	YE – YELLOW	GL – GLOBE; OG – OBLONG	2 – RIBBED; 1 – SMOOTH; 4 – WARTY	1 – GOOD	20	0.9	2 – INTERMEDIATE DAMAGE	4	23	14	28	2	SO – SOLID COLOR; SP – SPECKLED	CR – CREAM; GN – GREEN	V – VINE	1 – GOOD	2
PI 223773	19.73; 18.63; 22.75	18.63; 19.73; 22.75	YE – YELLOW; OR – ORANGE	GL – GLOBE	1 – SMOOTH	1 – GOOD	24	3.7	2 – INTERMEDIATE DAMAGE	4	20	16	26	5.1	SP – SPECKLED; MO – MOTTLED; ST – STRIPED	GN – GREEN; YE – YELLOW	V – VINE	1 – GOOD	
PI 226511	12.92; 16.41; 14.4	12.92; 14.4; 16.41	YE – YELLOW	OG – OBLONG	2 – RIBBED	1 – GOOD	18		1 – SLIGHT DAMAGE	4	23	12	30	2.3	SO – SOLID COLOR	TN – TAN; CR – CREAM	V – VINE	1 – GOOD	2
PI 227237	12.64; 16.24; 10.52	10.52; 12.64; 16.24; 20.59	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	18	1.2	1 – SLIGHT DAMAGE	3	20	13	33	2.6	SP – SPECKLED; MO – MOTTLED	TN – TAN; GN – GREEN; CR – CREAM	V – VINE	1 – GOOD	2
PI 227298	17; 21	17; 21	YE – YELLOW	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	12	30.6	2 – INTERMEDIATE DAMAGE	3			23	12.6	SP – SPECKLED; SO – SOLID COLOR; MO – MOTTLED	GN – GREEN; TN – TAN	V – VINE	1 – GOOD	2
PI 227299	22; 13.05; 15.98	13.05; 15.98; 22	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH; 4 – WARTY	3 – MEDIUM	20		1 – SLIGHT DAMAGE	3	21	17	27	2	SO – SOLID COLOR	TN – TAN; CR – CREAM	V – VINE	3 – MEDIUM	2
PI 229531	15.35; 17.95; 22.62	15; 15.35; 17.95; 22.62	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH; 4 – WARTY	3 – MEDIUM	18	1.8	2 – INTERMEDIATE DAMAGE	3	30	12	36	3.6	SO – SOLID COLOR	TN – TAN; CR – CREAM	S – SEMI-BUSH	3 – MEDIUM	2
PI 229688	16.67; 16.59; 12; 15.5	12; 15.5; 16.59; 16.67	YE – YELLOW; CR – CREAM	OG – OBLONG	1 – SMOOTH	3 – MEDIUM	12	59.7	1 – SLIGHT DAMAGE	3	30	10	38	5.2	MO – MOTTLED; SO – SOLID COLOR	CR – CREAM; GN – GREEN; TN – TAN	V – VINE	3 – MEDIUM	
PI 230181	8.35; 7.78; 8.21	7.78; 8.21; 8.35	YE – YELLOW	AC – ACORN	2 – RIBBED; 1 – SMOOTH	3 – MEDIUM	10	95.4	0 – NO DAMAGE	2			10	9.4	SO – SOLID COLOR	GN – GREEN; OR – ORANGE	V – VINE	3 – MEDIUM	
PI 232072	5.77; 5.81; 5.58; 5.59	5.58; 5.59; 5.77; 5.81	CR – CREAM	GL – GLOBE	1 – SMOOTH	3 – MEDIUM	7			1	4	5	6		SO – SOLID COLOR	OR – ORANGE	V – VINE	3 – MEDIUM	
PI 234252	12.64; 19.49; 14.93	12.64; 14.93; 19.49	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH; 4 – WARTY	1 – GOOD	15	9.2	1 – SLIGHT DAMAGE	3	35	10	43	14.6	SO – SOLID COLOR	TN – TAN; YE – YELLOW	S – SEMI-BUSH	1 – GOOD	2
PI 234614	7.33; 7.23; 5.65; 8.12	5.65; 6.43; 7.23; 7.33; 8.12	YE – YELLOW	GL – GLOBE	1 – SMOOTH	1 – GOOD	9	1.8	1 – SLIGHT DAMAGE	2	5	5	9	2.4	MO – MOTTLED	OR – ORANGE; GN – GREEN	V – VINE	1 – GOOD	
PI 234615	15.53; 13.44; 12; 11.12	11.12; 13.44; 15.53	YE – YELLOW	OG – OBLONG	4 – WARTY; 1 – SMOOTH; 2 – RIBBED	1 – GOOD	18	0.6	2 – INTERMEDIATE DAMAGE	3	28	11	46	1.8	SP – SPECKLED; SO – SOLID COLOR	CR – CREAM; TN – TAN	S – SEMI-BUSH	1 – GOOD	
PI 234616	15.06; 16.76	15; 15.06; 16.76	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	18	1.3	2 – INTERMEDIATE DAMAGE	4	30	12	43	0.7	SO – SOLID COLOR	GN – GREEN	S – SEMI-BUSH	1 – GOOD	2
PI 234617	9.68; 8.51	8.51; 9; 9.68	YE – YELLOW	AC – ACORN	1 – SMOOTH; 2 – RIBBED	1 – GOOD	10	45.2	0 – NO DAMAGE	3			15	7.2	SO – SOLID COLOR	OR – ORANGE; GN – GREEN	V – VINE	1 – GOOD	2
PI 234618	12; 13.53; 6.52; 12.56	6.52; 12; 12.56; 13.53	YE – YELLOW	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	13	54.1	1 – SLIGHT DAMAGE	3	28	11	34	14.2	SO – SOLID COLOR	CR – CREAM; TN – TAN	S – SEMI-BUSH	1 – GOOD	2
PI 251791	18.12; 17.44; 17.28; 16.95; 18.51	16.95; 17.28; 17.44; 18.12; 18.51	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	12	0.6	2 – INTERMEDIATE DAMAGE	3	43		56	1	SO – SOLID COLOR; SP – SPECKLED; MO – MOTTLED	TN – TAN	V – VINE	1 – GOOD	
PI 256063	14.33; 10.48	10.48; 14.33																	
PI 256064	14.68; 9.64; 10.12	9.64; 10.12; 14.68																	
PI 257287	15.82; 16.09; 17.8; 18	15.82; 16.09; 17.8; 18	YE – YELLOW	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	3 – MEDIUM	15	1.6	2 – INTERMEDIATE DAMAGE	3	30	12	35	4.2	SP – SPECKLED; SO – SOLID COLOR	GN – GREEN	V – VINE	3 – MEDIUM	
PI 260653	15.41; 16.81	15.41; 16.81	YE – YELLOW	GL – GLOBE	1 – SMOOTH; 2 – RIBBED	3 – MEDIUM	23	0.9	1 – SLIGHT DAMAGE	2	19	18	25	1.4	MO – MOTTLED; ST – STRIPED	OR – ORANGE; GN – GREEN	V – VINE	3 – MEDIUM	
PI 261610	22; 21.8	21.8; 22	OR – ORANGE	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	3 – MEDIUM	12	0.9	1 – SLIGHT DAMAGE	3	46	10	56	1	MO – MOTTLED; SO – SOLID COLOR; SP – SPECKLED	GN – GREEN; YE – YELLOW	V – VINE	3 – MEDIUM	
PI 261780	12; 9.68; 11.38	9.68; 11.38; 12	OR – ORANGE	OG – OBLONG	2 – RIBBED; 1 – SMOOTH; 4 – WARTY	3 – MEDIUM	15	0.9	2 – INTERMEDIATE DAMAGE	2	30	13	35	0.9	SO – SOLID COLOR	YE – YELLOW; OR – ORANGE	V – VINE	3 – MEDIUM	
PI 264550	16.4; 17	16.4; 17																	
PI 265560	16.92; 23	16.92; 23	YE – YELLOW	OT – OBLATE		1 – GOOD	18	1.6	1 – SLIGHT DAMAGE	3			12	3.1		GN – GREEN; OR – ORANGE	V – VINE	1 – GOOD	2
PI 266925	15.38; 16.99; 14.74	14.74; 15.38; 16.99	YE – YELLOW	GL – GLOBE	1 – SMOOTH	3 – MEDIUM	16			2	18		20		ST – STRIPED; SP – SPECKLED; MO – MOTTLED	YE – YELLOW; GN – GREEN	S – SEMI-BUSH	3 – MEDIUM	
PI 267660	14.16; 7.57	7.57; 13; 14.16	YE – YELLOW	OG – OBLONG	1 – SMOOTH	3 – MEDIUM	14			2			25		SP – SPECKLED; MO – MOTTLED	OR – ORANGE; GN – GREEN	V – VINE	3 – MEDIUM	
PI 267661	12.74; 10.66; 7.02; 14.85	7.02; 10.66; 12.74; 14.85	YE – YELLOW	OB – OBOVATE	1 – SMOOTH	1 – GOOD	12	0.6	3 – SEVERE DAMAGE	2			25	1.4	SO – SOLID COLOR	OR – ORANGE	V – VINE	1 – GOOD	
PI 267662	13.44; 12.45; 14.76; 14.05; 16.51	12.45; 13.44; 14.05; 14.76; 16.51	YE – YELLOW	OG – OBLONG	1 – SMOOTH	1 – GOOD	12		2 – INTERMEDIATE DAMAGE	2	12	9	23	2	MO – MOTTLED	GN – GREEN; OR – ORANGE	V – VINE	1 – GOOD	
PI 267663	14.16; 18.98; 17.16	14.16; 17.16; 18.98	YE – YELLOW	GL – GLOBE	1 – SMOOTH; 2 – RIBBED	1 – GOOD	18	1	3 – SEVERE DAMAGE	2			20	1	SO – SOLID COLOR	OR – ORANGE	V – VINE	1 – GOOD	
PI 267664	12.86; 13.94; 13.43; 15.55; 15.38; 17.11; 13.18	12.86; 13.18; 13.43; 13.94; 15.38; 15.55; 17.11	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	12			3			28		SO – SOLID COLOR	OR – ORANGE	V – VINE	1 – GOOD	
PI 267755	12.83; 13.42; 12.47	12.47; 12.83; 13.42	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	16			4	19	12	26		MO – MOTTLED	YE – YELLOW; GN – GREEN; OR – ORANGE	V – VINE	1 – GOOD	2
PI 267756	14.28; 14.18; 13	13; 14.18; 14.28	YE – YELLOW	OG – OBLONG	1 – SMOOTH	1 – GOOD	10			2	25	7	30		SO – SOLID COLOR	TN – TAN	V – VINE	1 – GOOD	
PI 267757	13.88; 18.46	13; 13.88; 18.46	OR – ORANGE	OT – OBLATE; GL – GLOBE	2 – RIBBED; 1 – SMOOTH	1 – GOOD	30			3	12	18	18		SO – SOLID COLOR	YE – YELLOW	V – VINE	1 – GOOD	
PI 267758	19.7; 14.97; 9.08	9.08; 14.97; 17.78; 19.7	YE – YELLOW	OV – OVATE; OG – OBLONG	2 – RIBBED; 1 – SMOOTH	3 – MEDIUM	20			4	30	12	40		SP – SPECKLED; SO – SOLID COLOR	YE – YELLOW; CR – CREAM; OR – ORANGE; GN – GREEN	V – VINE	3 – MEDIUM	
PI 267759	13.79; 12.53; 16.13; 13.62	12.53; 13.62; 13.79; 16.13	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	18			3	23	10	46		SO – SOLID COLOR	TN – TAN; OR – ORANGE	S – SEMI-BUSH	1 – GOOD	2
PI 268381	12.25; 19.86; 13.08; 21.08	12.25; 13.08; 19.86; 21.08	YE – YELLOW	GL – GLOBE	1 – SMOOTH; 2 – RIBBED	3 – MEDIUM	18			3			12		MO – MOTTLED; SO – SOLID COLOR; ST – STRIPED	GN – GREEN; YE – YELLOW; TN – TAN	V – VINE	3 – MEDIUM	2
PI 269483	8; 7.26	7.26; 8	CR – CREAM	OT – OBLATE; OB – OBOVATE	2 – RIBBED; 1 – SMOOTH; 4 – WARTY	1 – GOOD	15			3	10		18		SO – SOLID COLOR	TN – TAN	V – VINE	1 – GOOD	
PI 274336	15.08; 12.4; 18.92	12.4; 15.08; 18.9; 18.92	OR – ORANGE	OV – OVATE; OT – OBLATE	4 – WARTY; 2 – RIBBED	3 – MEDIUM	20			3	10	12	18		MO – MOTTLED; SO – SOLID COLOR	GN – GREEN; TN – TAN	V – VINE	3 – MEDIUM	
PI 274787	9.08; 9.41; 7.3	7.3; 9.08; 9.41	YE – YELLOW	OT – OBLATE	4 – WARTY; 2 – RIBBED	3 – MEDIUM	12			2			7		SO – SOLID COLOR	CR – CREAM	V – VINE	3 – MEDIUM	
PI 282486	8.39; 8.48; 5.6	5.6; 8.39; 8.48	CR – CREAM	OT – OBLATE		5 – POOR	11			2	10	9	12			GN – GREEN	B – BUSH	5 – POOR	
PI 282487	10.96; 11.16; 6.28	6.28; 10.96; 11.16	YE – YELLOW	GL – GLOBE		5 – POOR	12			2		10	7			OR – ORANGE	V – VINE	5 – POOR	
PI 285213	3.1; 3.34; 3.01	3.01; 3.1; 3.34	WH – WHITE	OB – OBOVATE	1 – SMOOTH	1 – GOOD	12			2	9	6	18		ST – STRIPED	WH – WHITE; GN – GREEN	V – VINE	1 – GOOD	
PI 285611	21.01; 20.22; 19.7; 18.33	18.33; 19.7; 20.22; 21.01	YE – YELLOW	OT – OBLATE	2 – RIBBED; 1 – SMOOTH	3 – MEDIUM	11			2	10	9	12		MO – MOTTLED	GN – GREEN; OR – ORANGE	V – VINE	3 – MEDIUM	1
PI 288240	16; 11.47; 11.82	11.47; 11.82; 16	YE – YELLOW	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	12			3			38		MO – MOTTLED	TN – TAN; GN – GREEN	B – BUSH	1 – GOOD	
PI 288241	8.1; 9.32; 12.09; 17.98; 17.61; 15.9; 13.94	8.1; 9.32; 12.09; 13.94; 15.9; 17.61; 17.98	CR – CREAM	OG – OBLONG; OB – OBOVATE	1 – SMOOTH; 2 – RIBBED	1 – GOOD	12			3	23	7	30		SO – SOLID COLOR	GN – GREEN	B – BUSH	1 – GOOD	2
PI 291254	12.1	12; 12.1	YE – YELLOW	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	3 – MEDIUM	15			3			35		SO – SOLID COLOR	TN – TAN	B – BUSH	3 – MEDIUM	
PI 292014	11.63; 12.01; 12.33; 11.3; 12.44; 13.4	11.3; 11.63; 12.01; 12.33; 12.44; 13.4	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	3 – MEDIUM	12			2	30	10	38		SO – SOLID COLOR	TN – TAN	B – BUSH	3 – MEDIUM	
PI 293433	10.7; 15.52; 14.68; 10.05	10.05; 10.7; 14.68; 15.52	YE – YELLOW	OB – OBOVATE; OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	18			3	25	12	35		SO – SOLID COLOR	TN – TAN	B – BUSH	1 – GOOD	
PI 293791	10.15; 20; 13.2; 18.77	10.15; 13.2; 18.77; 20	OR – ORANGE	GL – GLOBE	1 – SMOOTH; 2 – RIBBED	1 – GOOD	30			5	25	25	30		MO – MOTTLED	GN – GREEN; OR – ORANGE	V – VINE	1 – GOOD	4
PI 296388	16.24; 15.65; 12.59	12.59; 15.65; 16; 16.24		2 – ELONGATE															
PI 299574	9.9; 12.78; 9.73	9.73; 9.9; 12.78																	
PI 299575	5.74; 5.18; 4.94	4.94; 5.18; 5.74	OR – ORANGE	GL – GLOBE	1 – SMOOTH	1 – GOOD	7			2			7		SO – SOLID COLOR	OR – ORANGE	V – VINE	1 – GOOD	
PI 302418	10.02; 12.5	10.02; 12.5	YE – YELLOW	OV – OVATE; OB – OBOVATE; GL – GLOBE	2 – RIBBED; 1 – SMOOTH	1 – GOOD	18			3	23	13	25		SO – SOLID COLOR	OR – ORANGE	V – VINE	1 – GOOD	2
PI 304061	16.7; 17.82; 24.35	16.7; 17.82; 24.35																	
PI 306126	17.1; 16.97; 12.9	12.9; 16.97; 17.1	WH – WHITE; CR – CREAM	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	16			5	33	10	58		SO – SOLID COLOR	TN – TAN	S – SEMI-BUSH	1 – GOOD	3
PI 311102	13.54; 9.79; 10.91; 11.9	9.79; 10.91; 11.9; 13.54	OR – ORANGE	OT – OBLATE; GL – GLOBE	1 – SMOOTH; 2 – RIBBED	1 – GOOD	15			2	15	13	20		SO – SOLID COLOR; SP – SPECKLED	GN – GREEN	V – VINE	1 – GOOD	
PI 311103	11.06; 13.76	11.06; 13.76	BR – BROWN; OR – ORANGE	GL – GLOBE; OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	15			2	10		28		MO – MOTTLED; SO – SOLID COLOR; ST – STRIPED	GN – GREEN	V – VINE	1 – GOOD	
PI 311741	19.23; 19.06	19.06; 19.23	YE – YELLOW	OT – OBLATE	2 – RIBBED; 1 – SMOOTH	1 – GOOD	25			3	15	20	20		ST – STRIPED; MO – MOTTLED	GN – GREEN	V – VINE	1 – GOOD	
PI 312127	8.6; 18.45; 11.27	8.6; 11.27; 18.45	YE – YELLOW	GL – GLOBE; OT – OBLATE	2 – RIBBED; 3 – WRINKLED; 4 – WARTY	1 – GOOD	20			3	12	15	16		SO – SOLID COLOR	TN – TAN	V – VINE	1 – GOOD	2
PI 314806	10; 12; 9.57	9.57; 10; 12	WH – WHITE	OB – OBOVATE	2 – RIBBED; 4 – WARTY	1 – GOOD	15			4		13	23		SO – SOLID COLOR	TN – TAN	V – VINE	1 – GOOD	
PI 318826	15.52; 22.1; 19.59; 13.6	13.6; 15.52; 19.59; 22.1	YE – YELLOW	OG – OBLONG; OV – OVATE; GL – GLOBE	4 – WARTY; 1 – SMOOTH; 2 – RIBBED	5 – POOR	16			3	15	12	40		ST – STRIPED; MO – MOTTLED; SO – SOLID COLOR	GN – GREEN; OR – ORANGE	V – VINE	5 – POOR	2
PI 318828	19.95; 17.64; 16.34; 17.04	16.34; 17.04; 17.64; 19.95																	
PI 318829	18.41; 16.31; 17.38; 10.86	10.86; 16.31; 17.38; 18.41																	
PI 318830	17.95; 11.82; 12.08; 12.28; 13.41; 15.31; 13.58	11.82; 12; 12.08; 12.28; 13.41; 13.58; 15.31; 17.95	YE – YELLOW	GL – GLOBE; OB – OBOVATE	1 – SMOOTH; 2 – RIBBED	1 – GOOD	17			2	12	12	17		SO – SOLID COLOR	GN – GREEN	V – VINE	1 – GOOD	1
PI 344070	17.22; 19.98; 21.44; 25.88	17.22; 19.98; 21.44; 25.88	OR – ORANGE; YE – YELLOW	GL – GLOBE	2 – RIBBED; 1 – SMOOTH; 3 – WRINKLED	1 – GOOD	20			3		16	20		SP – SPECKLED; ST – STRIPED; MO – MOTTLED	TN – TAN; GN – GREEN	V – VINE	1 – GOOD	
PI 344071	12.12; 9.65	9.65; 12.12	CR – CREAM	OG – OBLONG		1 – GOOD	13			2	24	10	40			GN – GREEN; TN – TAN; YE – YELLOW	V – VINE	1 – GOOD	
