ACCESSION	FLESH COLOR	WATERMELON MOSAIC	DAYS TO POLLINATION	FLESH DEPTH	FRUIT DIAMETER	FRUIT LENGTH	FRUIT SET	PLANT HABIT	POWDERY MILDEW	FRUIT RIBBING	UNIFORMITY	FRUIT SPOTTING	PLANT VIGOR	FRUIT COLOR	CUCUMBER MOSAIC VIRUS	FRUIT SURFACE COLOR	FRUIT SKIN TEXTURE	MAXIMUM PLANT VIGOR	CUCUMBER BEETLE INJURY	MINIMUM PLANT VIGOR	FRUIT LENGTH MAXIMUM	SQUASHBUG NYMPH	PLANT TYPE	FLESH THICKNESS MAXIMUM	SQUASHBUG ADULT	FRUIT SHAPE	FRUIT WIDTH MAXIMUM	FRUIT SURFACE PATTERN	FRUIT LENGTH MINIMUM	FRUIT WIDTH MINIMUM	100 SEED WEIGHT	WEIGHT OF 100 SEEDS	VINE-LENGTH	FRUIT SURFACE	MATURITY	FLESH THICKNESS MINIMUM
PI 265558		9 – SEVERE	51	3.5	24	28	9 – EXCELLENT	2 – VINE	7 – (1 = SLIGHT,  9 = SEVERE)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	8 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)			GY – GRAY; GN – GREEN	1 – SMOOTH	1 – GOOD		1 – GOOD	28		V – VINE	5		GL – GLOBE	30		25	20						
PI 265559	YE – YELLOW; 3 – PALE ORANGE	8 – (1 = SLIGHT,  9 = SEVERE)	39	3.7	27	20	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	9 – SEVERE	6 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	7 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE		OR – ORANGE	2 – RIBBED; 1 – SMOOTH	1 – GOOD		1 – GOOD	25		V – VINE	5		OT – OBLATE; GL – GLOBE; OG – OBLONG	30	ST – STRIPED; SO – SOLID COLOR; MO – MOTTLED	20	25						
PI 265560	YE – YELLOW	6 – (1 = SLIGHT,  9 = SEVERE)	40	2.5	25	23	9 – EXCELLENT	2 – VINE	9 – SEVERE	5 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	5 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)			GN – GREEN; OR – ORANGE		1 – GOOD	1 – SLIGHT DAMAGE	1 – GOOD	12	1.6	V – VINE	3	3.1	OT – OBLATE	18				16.92; 23	16.92; 23				2
PI 265561	1 – YELLOW; YE – YELLOW	1 – SLIGHT		3.8	25	28	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	6 – (1 = SLIGHT,  9 = SEVERE)				8 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE		GY – GRAY; CR – CREAM		1 – GOOD	1 – SLIGHT DAMAGE	1 – GOOD	33	0.4	V – VINE	5	1.4	OB – OBOVATE	25									
PI 265562	OR – ORANGE	5 – (1 = SLIGHT,  9 = SEVERE)	35	2.5	19	25	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	9 – SEVERE	6 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)	6 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT); 9 – EXCELLENT			OR – ORANGE; GN – GREEN	1 – SMOOTH; 2 – RIBBED	1 – GOOD		1 – GOOD	28		V – VINE	5		OT – OBLATE	38	SO – SOLID COLOR; MO – MOTTLED								
PI 265571	OR – ORANGE; 4 – MEDIUM ORANGE	8 – (1 = SLIGHT,  9 = SEVERE)	43	3	27	13	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	4 – (1 = SLIGHT,  9 = SEVERE)	8 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT); 6 – (1 = POOR,  9 = EXCELLENT)	5 – (1 = SLIGHT,  9 = PRONOUNCED)	9 – EXCELLENT; 7 – (1 = POOR,  9 = EXCELLENT)			GY – GRAY	2 – RIBBED; 1 – SMOOTH; 4 – WARTY	1 – GOOD		1 – GOOD	23		V – VINE	5		GL – GLOBE	25	SO – SOLID COLOR								
PI 267749					23	15	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE					5 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE																						
PI 267750					23	50	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	7 – (1 = SLIGHT,  9 = SEVERE)				7 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY																						
PI 269483	CR – CREAM															TN – TAN	2 – RIBBED; 1 – SMOOTH; 4 – WARTY	1 – GOOD		1 – GOOD	18		V – VINE	3		OB – OBOVATE; OT – OBLATE	15	SO – SOLID COLOR	10		8; 7.26	7.26; 8				
PI 269484	3 – PALE ORANGE	9 – SEVERE	39	2.2	16	27	8 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	8 – (1 = SLIGHT,  9 = SEVERE)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)																							
PI 273651	2 – YELLOW-ORANGE	2 – (1 = SLIGHT,  9 = SEVERE)	80	3.5	30	27	2 – (1 = POOR,  9 = EXCELLENT)	2 – VINE		5 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE																						
PI 273652	1 – YELLOW	9 – SEVERE	83	3	28	27	1 – POOR	2 – VINE	2 – (1 = SLIGHT,  9 = SEVERE)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	7 – (1 = SLIGHT,  9 = PRONOUNCED)	9 – EXCELLENT	5 – GREEN																						
PI 273653								2 – VINE			7 – (1 = POOR,  9 = EXCELLENT)		8 – (1 = POOR,  9 = EXCELLENT)																							
PI 273654	4 – MEDIUM ORANGE	9 – SEVERE	69	4	20	24	3 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	2 – (1 = SLIGHT,  9 = SEVERE)	7 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	8 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	5 – GREEN																						
PI 273655	4 – MEDIUM ORANGE	2 – (1 = SLIGHT,  9 = SEVERE)	65	2.3	25	20	8 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	1 – SLIGHT	2 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY	3 – (1 = SLIGHT,  9 = SEVERE)																					
PI 273656		9 – SEVERE	67	3.5	29	32	4 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	2 – (1 = SLIGHT,  9 = SEVERE)	7 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	6 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	5 – GREEN																						
PI 277405	2 – YELLOW-ORANGE; YE – YELLOW		46	5	24	30	8 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	7 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	5 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	9 – EXCELLENT	3 – ORANGE		GN – GREEN; YE – YELLOW		3 – MEDIUM		3 – MEDIUM	33		V – VINE	8		GL – GLOBE	35									
PI 289699	4 – MEDIUM ORANGE	8 – (1 = SLIGHT,  9 = SEVERE)	62	5.5	23	11	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	4 – (1 = SLIGHT,  9 = SEVERE)	7 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	8 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY																						
PI 295342	4 – MEDIUM ORANGE			3.5	20	15	2 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	2 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	7 – (1 = POOR,  9 = EXCELLENT)		8 – (1 = POOR,  9 = EXCELLENT)	4 – TAN																						
PI 298036					25	10								3 – GRAY												5 – OBLATE							12	9 – FURROWED	5 – MIDSEASON	
PI 298818		7 – (1 = SLIGHT,  9 = SEVERE)	59	4.5	32	34	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	3 – (1 = SLIGHT,  9 = SEVERE)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT); 5 – (1 = POOR,  9 = EXCELLENT)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	9 – EXCELLENT; 8 – (1 = POOR,  9 = EXCELLENT)																							
PI 302416	YE – YELLOW	7 – (1 = SLIGHT,  9 = SEVERE)	42				1 – POOR	2 – VINE	5 – (1 = SLIGHT,  9 = SEVERE)		5 – (1 = POOR,  9 = EXCELLENT); 7 – (1 = POOR,  9 = EXCELLENT)		4 – (1 = POOR,  9 = EXCELLENT); 1 – POOR		7 – (1 = SLIGHT,  9 = SEVERE)	GN – GREEN; GY – GRAY; OR – ORANGE	2 – RIBBED; 4 – WARTY	1 – GOOD		1 – GOOD	25		V – VINE	3		GL – GLOBE; OV – OVATE	18	ST – STRIPED; SO – SOLID COLOR	23	13						
PI 302417	OR – ORANGE; 3 – PALE ORANGE		28	2.9	20	13	8 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	7 – (1 = SLIGHT,  9 = SEVERE)		8 – (1 = POOR,  9 = EXCELLENT)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	9 – EXCELLENT	3 – ORANGE		GN – GREEN; GY – GRAY; OR – ORANGE	2 – RIBBED	1 – GOOD		1 – GOOD	25		V – VINE	4		OT – OBLATE; GL – GLOBE	14	SO – SOLID COLOR	15	10						
PI 304061																															24.35; 16.7; 17.82	16.7; 17.82; 24.35				
PI 306124	OR – ORANGE; 4 – MEDIUM ORANGE	7 – (1 = SLIGHT,  9 = SEVERE)	59	3.8	28	18	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	7 – (1 = SLIGHT,  9 = SEVERE)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	7 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY		GN – GREEN	2 – RIBBED	1 – GOOD		1 – GOOD	28		V – VINE	4		OT – OBLATE	30	ST – STRIPED; SO – SOLID COLOR	20	23						
PI 318415	5 – DARK ORANGE	9 – SEVERE	48	3	19	15	3 – (1 = POOR,  9 = EXCELLENT)	1 – BUSH	5 – (1 = SLIGHT,  9 = SEVERE)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	4 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE																						
PI 318416	4 – MEDIUM ORANGE	9 – SEVERE	51	2	18	12	4 – (1 = POOR,  9 = EXCELLENT)	1 – BUSH	5 – (1 = SLIGHT,  9 = SEVERE)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	6 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE																						
PI 318417	4 – MEDIUM ORANGE; OR – ORANGE		41	3.1	20	12	9 – EXCELLENT	1 – BUSH	6 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	8 – (1 = POOR,  9 = EXCELLENT)		8 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE		OR – ORANGE	2 – RIBBED; 1 – SMOOTH	1 – GOOD		1 – GOOD	18		B – BUSH	4		OT – OBLATE	12	SO – SOLID COLOR	16	10						
PI 318418	OR – ORANGE; 5 – DARK ORANGE		37	2	15	7	8 – (1 = POOR,  9 = EXCELLENT)	1 – BUSH	6 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	8 – (1 = POOR,  9 = EXCELLENT)		9 – EXCELLENT	5 – GREEN		GN – GREEN	1 – SMOOTH; 2 – RIBBED	1 – GOOD		1 – GOOD	10		B – BUSH	3		OT – OBLATE	23	SO – SOLID COLOR		18						
PI 318419	OR – ORANGE; 3 – PALE ORANGE		39	3.4	19	13	9 – EXCELLENT	1 – BUSH	4 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	9 – EXCELLENT		9 – EXCELLENT	3 – ORANGE		OR – ORANGE	2 – RIBBED	1 – GOOD		1 – GOOD	16		B – BUSH	5		OT – OBLATE	21	ST – STRIPED; SO – SOLID COLOR	14	19						
PI 318420	3 – PALE ORANGE; OR – ORANGE		39	3.9	22	14	9 – EXCELLENT	1 – BUSH	5 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	9 – EXCELLENT		9 – EXCELLENT	3 – ORANGE		OR – ORANGE	1 – SMOOTH; 2 – RIBBED	1 – GOOD		1 – GOOD	14		B – BUSH	4		OT – OBLATE	23	SO – SOLID COLOR	13	19						
PI 318421	BR – BROWN; 4 – MEDIUM ORANGE; OR – ORANGE		31	2.6	18	11	9 – EXCELLENT	1 – BUSH	7 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	8 – (1 = POOR,  9 = EXCELLENT)		9 – EXCELLENT	5 – GREEN		GN – GREEN	2 – RIBBED; 1 – SMOOTH	1 – GOOD		1 – GOOD	11		B – BUSH	3		OT – OBLATE	20	SO – SOLID COLOR		16						
PI 318422	OR – ORANGE; 4 – MEDIUM ORANGE	5 – (1 = SLIGHT,  9 = SEVERE)	48	3	20	14	8 – (1 = POOR,  9 = EXCELLENT)	1 – BUSH	8 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	8 – (1 = POOR,  9 = EXCELLENT)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE		OR – ORANGE	1 – SMOOTH; 2 – RIBBED	1 – GOOD		1 – GOOD	18		B – BUSH	4		GL – GLOBE; OT – OBLATE	20	SO – SOLID COLOR	15	18						
PI 318423	YE – YELLOW; 4 – MEDIUM ORANGE		42	3.1	19	10	7 – (1 = POOR,  9 = EXCELLENT)	1 – BUSH	8 – (1 = SLIGHT,  9 = SEVERE)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)		6 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE		OR – ORANGE	2 – RIBBED	1 – GOOD		1 – GOOD	13		B – BUSH	4		OT – OBLATE	20	SO – SOLID COLOR								
PI 318424	4 – MEDIUM ORANGE; OR – ORANGE		46	2.6	20	11	7 – (1 = POOR,  9 = EXCELLENT)	1 – BUSH	6 – (1 = SLIGHT,  9 = SEVERE)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)		6 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE		OR – ORANGE	2 – RIBBED; 1 – SMOOTH	1 – GOOD		1 – GOOD	15		B – BUSH	5		OT – OBLATE	20	SO – SOLID COLOR	14	18						
PI 318425	4 – MEDIUM ORANGE; OR – ORANGE		41	2.4	22	15	8 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	6 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	8 – (1 = POOR,  9 = EXCELLENT)		8 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE		OR – ORANGE	2 – RIBBED; 4 – WARTY; 1 – SMOOTH	1 – GOOD		1 – GOOD	19		B – BUSH	4		OT – OBLATE	22	SO – SOLID COLOR	13	19						
PI 318426	3 – PALE ORANGE		46	2.5	21	13	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	6 – (1 = SLIGHT,  9 = SEVERE)		7 – (1 = POOR,  9 = EXCELLENT)		8 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE																						
PI 318427	3 – PALE ORANGE		40	2.5	19	14	6 – (1 = POOR,  9 = EXCELLENT)	1 – BUSH	5 – (1 = SLIGHT,  9 = SEVERE)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)		6 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE																						
PI 318428	5 – DARK ORANGE; OR – ORANGE		30	3.6	26	28	8 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	5 – (1 = SLIGHT,  9 = SEVERE)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)		9 – EXCELLENT	3 – ORANGE		OR – ORANGE	3 – WRINKLED; 2 – RIBBED	1 – GOOD		1 – GOOD	33		V – VINE	5		OV – OVATE	25	SO – SOLID COLOR	18	23						
PI 318429	OR – ORANGE; 2 – YELLOW-ORANGE		31	3.4	28	18	9 – EXCELLENT	2 – VINE	5 – (1 = SLIGHT,  9 = SEVERE)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)		9 – EXCELLENT	3 – ORANGE		OR – ORANGE	2 – RIBBED; 3 – WRINKLED	1 – GOOD		1 – GOOD	23		S – SEMI-BUSH	6		OT – OBLATE	30	SO – SOLID COLOR	8	21						
PI 318430	4 – MEDIUM ORANGE; OR – ORANGE	9 – SEVERE	40	2.5	19	11	9 – EXCELLENT	2 – VINE	9 – SEVERE	3 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	5 – GREEN		GN – GREEN	1 – SMOOTH; 2 – RIBBED	1 – GOOD		1 – GOOD	10		V – VINE	3		OT – OBLATE	23	SO – SOLID COLOR		15						
PI 318431	OR – ORANGE; 5 – DARK ORANGE		30	2.2	28	23	8 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	3 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	8 – (1 = POOR,  9 = EXCELLENT)		5 – (1 = POOR,  9 = EXCELLENT)	5 – GREEN		GN – GREEN	2 – RIBBED; 3 – WRINKLED	1 – GOOD		1 – GOOD	15		V – VINE	5		GL – GLOBE	10	MO – MOTTLED; SO – SOLID COLOR								
PI 318432	3 – PALE ORANGE; OR – ORANGE			2.8	23	22	7 – (1 = POOR,  9 = EXCELLENT)	1 – BUSH; 2 – VINE	7 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	8 – (1 = POOR,  9 = EXCELLENT); 5 – (1 = POOR,  9 = EXCELLENT)		8 – (1 = POOR,  9 = EXCELLENT); 6 – (1 = POOR,  9 = EXCELLENT)	5 – GREEN		GN – GREEN	4 – WARTY; 2 – RIBBED	1 – GOOD		1 – GOOD	15		S – SEMI-BUSH	4		OB – OBOVATE	23	SO – SOLID COLOR								
PI 318433	OR – ORANGE; 3 – PALE ORANGE			2.8	18	11	9 – EXCELLENT	1 – BUSH	6 – (1 = SLIGHT,  9 = SEVERE)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)		9 – EXCELLENT	5 – GREEN		GN – GREEN	1 – SMOOTH; 2 – RIBBED	1 – GOOD		1 – GOOD	10		S – SEMI-BUSH	3		OT – OBLATE	18	SO – SOLID COLOR								
PI 325133	OR – ORANGE															OR – ORANGE		1 – GOOD		1 – GOOD	9		B – BUSH	3		OT – OBLATE	15		7	12						
PI 349347	2 – YELLOW-ORANGE	1 – SLIGHT		2.2	19	21	3 – (1 = POOR,  9 = EXCELLENT)	2 – VINE		7 – (1 = SLIGHT,  9 = PRONOUNCED)	3 – (1 = POOR,  9 = EXCELLENT)		5 – (1 = POOR,  9 = EXCELLENT)	5 – GREEN																						
PI 349348	4 – MEDIUM ORANGE	8 – (1 = SLIGHT,  9 = SEVERE)	88	3	18	16	2 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	5 – (1 = SLIGHT,  9 = SEVERE)	8 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE																						
PI 349349		7 – (1 = SLIGHT,  9 = SEVERE)	44	4.5	30	30	3 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	5 – (1 = SLIGHT,  9 = SEVERE)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY																						
PI 349350	5 – DARK ORANGE	1 – SLIGHT		2.8	22	15	4 – (1 = POOR,  9 = EXCELLENT)	2 – VINE		4 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	8 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)																							
PI 349351	5 – DARK ORANGE	6 – (1 = SLIGHT,  9 = SEVERE)	60	1.9	19	15	4 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	2 – (1 = SLIGHT,  9 = SEVERE)	8 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)	8 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT); 9 – EXCELLENT	5 – GREEN																						
PI 349354	3 – PALE ORANGE	9 – SEVERE	47	3.5	24	20	4 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	7 – (1 = SLIGHT,  9 = SEVERE)	5 – (1 = SLIGHT,  9 = PRONOUNCED)	4 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	7 – (1 = POOR,  9 = EXCELLENT)	5 – GREEN	1 – SLIGHT																					
PI 355054																															18.28; 19.9; 17.42	17.42; 18.28; 19.9				
PI 357870	4 – MEDIUM ORANGE	5 – (1 = SLIGHT,  9 = SEVERE)	48	3.5	16	12	9 – EXCELLENT	2 – VINE	4 – (1 = SLIGHT,  9 = SEVERE)	4 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT); 5 – (1 = POOR,  9 = EXCELLENT)	7 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT); 9 – EXCELLENT																							
PI 357871	1 – YELLOW	4 – (1 = SLIGHT,  9 = SEVERE)	42	1.1	23	24	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	2 – (1 = SLIGHT,  9 = SEVERE)	5 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)	5 – (1 = SLIGHT,  9 = PRONOUNCED)	9 – EXCELLENT	1 – GRAY																						
PI 357872	4 – MEDIUM ORANGE	2 – (1 = SLIGHT,  9 = SEVERE)	45	1	38	30	1 – POOR	2 – VINE	2 – (1 = SLIGHT,  9 = SEVERE)	5 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	9 – EXCELLENT	1 – GRAY																						
PI 357874	5 – DARK ORANGE	7 – (1 = SLIGHT,  9 = SEVERE)	59	2	15	15	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	3 – (1 = SLIGHT,  9 = SEVERE)	7 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT); 7 – (1 = POOR,  9 = EXCELLENT)	6 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT); 9 – EXCELLENT	5 – GREEN																						
PI 357875	5 – DARK ORANGE	9 – SEVERE	63	4	23	28	2 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	3 – (1 = SLIGHT,  9 = SEVERE)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY																						
PI 357876		5 – (1 = SLIGHT,  9 = SEVERE)	37	0.6	24	26	9 – EXCELLENT	2 – VINE	7 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	9 – EXCELLENT	1 – SLIGHT	9 – EXCELLENT	1 – GRAY																						
PI 357877	5 – DARK ORANGE	3 – (1 = SLIGHT,  9 = SEVERE)	38	1.2	29	26	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	6 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	5 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	5 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY																						
PI 357878	5 – DARK ORANGE	4 – (1 = SLIGHT,  9 = SEVERE)	41	1	25	20	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	5 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	5 – (1 = POOR,  9 = EXCELLENT); 1 – POOR	1 – SLIGHT	5 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY																						
PI 357879		4 – (1 = SLIGHT,  9 = SEVERE)	38	0.5	30	14	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	9 – SEVERE	1 – SLIGHT	5 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	5 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY																						
PI 357880		4 – (1 = SLIGHT,  9 = SEVERE)	39	0.8	38	26	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	5 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	5 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	9 – EXCELLENT	1 – GRAY																						
PI 357881	5 – DARK ORANGE	3 – (1 = SLIGHT,  9 = SEVERE)	41	0.7	26	31	1 – POOR	2 – VINE	8 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	5 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	5 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY	1 – SLIGHT																					
PI 357882	5 – DARK ORANGE	7 – (1 = SLIGHT,  9 = SEVERE)	42	4	23	22	2 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	4 – (1 = SLIGHT,  9 = SEVERE)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	4 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)																							
PI 357883	4 – MEDIUM ORANGE	8 – (1 = SLIGHT,  9 = SEVERE)	67	2.4	18	14	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	6 – (1 = SLIGHT,  9 = SEVERE)	7 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	5 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	5 – GREEN																						
